attendance,study_hours,quiz_score,assignment_score,previous_gpa,pass
78,4,23,23,5.05,0
91,6,89,79,6.83,1
68,7,38,94,4.55,0
54,9,51,49,7.75,1
82,1,28,21,7.3,0
47,6,31,81,6.44,0
60,7,30,68,7.13,0
78,3,65,28,9.38,0
97,8,35,50,5.18,1
58,5,20,80,4.14,0
62,9,82,98,9.17,1
50,5,40,67,7.46,0
50,9,49,44,9.34,1
63,4,32,55,7.58,0
92,9,53,27,8.86,1
75,5,23,92,6.58,0
79,9,47,77,8.5,1
63,3,78,64,9.48,1
42,4,46,81,7.43,0
61,9,88,58,5.08,1
92,6,44,77,5.61,1
41,2,22,83,5.19,0
63,7,87,63,5.48,1
83,2,44,48,5.84,0
69,2,39,78,7.33,0
77,1,53,90,7.53,0
41,3,45,28,6.56,0
99,6,24,25,7.69,0
60,8,80,48,4.49,0
72,9,28,77,4.53,0
51,7,69,36,5.03,0
97,4,25,35,7.11,0
61,6,79,22,5.28,0
83,5,63,40,5.7,0
64,8,30,83,6.4,1
88,1,85,55,8.87,1
66,1,66,81,4.08,0
98,6,92,61,7.9,1
81,2,22,95,8.01,0
67,5,95,61,8.79,1
99,1,49,80,9.6,1
55,7,40,32,4.12,0
54,1,47,30,4.92,0
86,4,81,73,9.32,1
90,9,52,35,6.75,1
83,1,54,27,7.39,0
94,4,71,78,7.98,1
91,6,53,76,8.07,1
96,6,60,59,9.59,1
42,8,70,78,9.98,1
76,1,66,21,8.32,0
90,7,77,95,5.72,1
46,1,94,29,9.28,0
60,7,76,63,4.3,0
48,3,42,30,5.39,0
78,8,67,98,9.38,1
57,3,41,99,5.54,0
43,1,36,21,5.32,0
64,8,88,69,4.83,1
99,3,30,31,9.15,0
53,2,34,42,7.0,0
89,1,54,37,8.05,0
97,3,52,81,5.43,0
48,2,35,81,8.55,0
65,2,53,57,8.56,0
92,6,85,86,5.88,1
41,1,59,57,6.46,0
59,2,47,86,5.26,0
67,6,66,80,9.86,1
86,3,58,20,7.87,0
99,4,89,64,9.61,1
46,1,92,47,5.82,0
83,8,39,40,8.69,1
47,7,20,32,8.6,0
86,7,91,46,8.15,1
74,3,82,26,9.79,1
53,3,86,41,6.36,0
56,2,23,93,4.78,0
75,1,77,72,8.03,0
89,7,44,98,8.38,1
79,7,66,98,7.45,1
43,2,57,23,5.24,0
41,7,34,42,7.03,0
45,8,82,89,5.87,1
93,1,40,95,6.56,0
81,9,76,52,7.87,1
43,7,72,47,8.47,1
93,3,65,27,5.39,0
68,8,33,20,6.43,0
57,7,95,56,5.61,1
65,8,36,82,5.19,0
83,6,58,41,8.7,1
73,9,28,89,9.46,1
49,5,96,40,6.22,0
75,3,98,54,8.51,1
53,3,25,98,9.38,0
70,1,42,24,9.08,0
87,8,78,79,5.1,1
54,2,65,65,9.74,0
47,3,57,69,6.26,0
53,8,33,67,6.04,0
62,8,91,25,4.37,0
99,4,81,75,6.92,1
96,4,54,78,4.65,0
79,5,38,48,5.49,0
60,6,49,90,5.9,0
55,5,97,96,8.85,1
84,7,44,37,9.25,1
57,2,59,21,5.81,0
86,7,33,27,9.15,1
92,7,45,94,9.14,1
63,1,41,73,8.59,0
65,7,67,57,4.88,0
64,5,70,67,8.14,1
99,3,22,46,9.67,1
99,3,61,39,8.1,1
99,4,38,31,5.99,0
84,2,92,62,7.0,1
80,2,47,80,7.87,0
68,1,64,50,7.06,0
54,5,90,80,4.72,0
84,4,97,93,5.87,1
40,2,82,86,8.81,1
64,3,92,54,9.17,1
46,7,38,34,4.82,0
48,7,66,35,9.71,1
63,4,33,32,5.97,0
40,5,57,54,7.97,0
83,5,72,94,8.51,1
47,6,80,78,8.87,1
63,9,55,40,9.67,1
50,2,59,73,5.88,0
90,5,49,94,9.15,1
56,3,28,49,4.79,0
47,4,83,67,8.23,1
74,6,52,54,8.45,1
74,8,71,57,8.07,1
72,1,33,50,5.51,0
98,8,94,97,9.24,1
44,7,72,43,5.01,0
81,1,78,68,4.32,0
78,2,97,51,8.3,1
97,3,60,74,6.85,1
80,1,87,98,9.09,1
67,9,87,77,6.3,1
46,8,27,22,5.01,0
